"Marca temporal","How often do you recycle at home?","What's your primary mode of transportation?","What practices do you use to conserve water at home? (Select all that apply)","Would you be willing to pay more for an eco-friendly product?","What do you consider the most pressing environmental issue currently?","If your favorite lunch spot (chaza) asked you to bring your own container to reduce single-use plastics, would you bring your own container?"," You may justify your previous answer",""
"2025/06/28 12:00:55 p. m. GMT-5","Sometimes","Public transportation","Using low-flow toilets","I'm not sure","Deforestation","Yes","I would try to do it.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:04:06 p. m. GMT-5","Always","Public transportation","Collecting shower water;Using low-flow toilets;Reusing washing machine water","Yes, if the price difference is low","Water pollution;Deforestation","Yes","Bring my own container could help environment and that would reduce the costs of the food in the chazas.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:04:53 p. m. GMT-5","Sometimes","Bicycle or walking","None","Yes, definitely","Air pollution","Yes","Yes, cause if that restaurant is my favorite restaurant, that means I go regularly,  and  I trust them, and I don’t have any problem to try to reduce a single-use plastics ","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:07:49 p. m. GMT-5","Sometimes","Bicycle or walking","Collecting shower water;Reusing washing machine water","Yes, if the price difference is low","Climate change;Deforestation;Air pollution","Yes","I agree. Because it’s a good way to help the environment.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:09:17 p. m. GMT-5","Sometimes","Public transportation","None","Yes, if the price difference is low","Climate change","Yes","Although I don´t eat often at chazas, I think bringing my own container, aside from being a safer option since it reduces microplastics intake, is better for the environment.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:09:41 p. m. GMT-5","Sometimes","Other","None","I'm not sure","Climate change","Yes","I would do it because I understand it is to protect and contribute to the enviroment, besides don't like plastics","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:14:32 p. m. GMT-5","Always","Public transportation","None","Yes, definitely","Climate change;Water pollution;Deforestation","Yes","Yes I would, they're not asking me to pay more for what I want to buy, just to bring something that every single person has at home to make a difference against the climate change, it's not something hard to do.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:19:22 p. m. GMT-5","Sometimes","Bicycle or walking","Collecting shower water;Collecting rainwater;Reusing washing machine water","Yes, definitely","Climate change;Water pollution","Yes","I think that small actions can have an impact and and can contribute to reducing environmental impacts. I also believe that climate change is a problem that all of us as a society should address, but that actions, no matter how small, must be voluntary.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:20:03 p. m. GMT-5","Sometimes","Public transportation","None","Yes, if the price difference is low","Climate change;Air pollution","Yes","I can reduce my plastic footprint by reusing the containers I have for food or soap. I would do it too for toothpaste and juices if it was possible","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:21:47 p. m. GMT-5","Always","Public transportation","Collecting rainwater;Reusing washing machine water","Yes, if the price difference is low","Climate change;Deforestation","No","People will not agree to charge their containers just to eat some things, others doesn't necessarily need one","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:32:03 p. m. GMT-5","Sometimes","Public transportation","Reusing washing machine water","Yes, definitely","Climate change;Water pollution;Air pollution","Yes","I would bring my own container to my favorite ‘chaza’ if they asked me to, because I believe this way we use less plastic, reduce pollution, and help protect the environment.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
"2025/06/28 12:35:07 p. m. GMT-5","Always","Public transportation","None","Yes, if the price difference is low","Climate change;Water pollution;Deforestation;Loss of biodiversity","Yes","I have no problem. I'm aware of the amount of plastic we generate.","By completing this survey, you agree to allow the anonymous and non-identifiable data you provide to be used solely for academic and research purposes. The results may be included in the final project for the Explora Program and the Intensive English (Level I), Group II, 2025-I. Your responses will remain strictly confidential and will not be linked to your identity in any way."
